Equipo;Competencia;Internacional;Oficial;Rival;Minuto;Fecha;Ciudad;Pais;Condición;Resultado Final;
River Plate;Amistoso;No;No;Comb. de Tres Arroyos;;12/07/1953;Tres Arroyos;Argentina;Visitante;3-3;
River Plate;Amistoso;No;No;Unión SF;;29/07/1953;Santa Fe;Argentina;Visitante;2-2;
River Plate;Primera División AFA;No;Si;Estudiantes;;02/08/1953;Buenos Aires;Argentina;Local;1-0;
River Plate;Primera División AFA;No;Si;Newells;;09/08/1953;Rosario;Argentina;Visitante;4-1;
River Plate;Primera División AFA;No;Si;Banfield;;17/08/1953;Banfield;Argentina;Visitante;2-1;
River Plate;Primera División AFA;No;Si;San Lorenzo;;30/08/1953;Buenos Aires;Argentina;Visitante;4-1;
River Plate;Primera División AFA;No;Si;San Lorenzo;;30/08/1953;Buenos Aires;Argentina;Visitante;4-1;
River Plate;Primera División AFA;No;Si;Ferro;;06/09/1953;Buenos Aires;Argentina;Visitante;3-0;
River Plate;Primera División AFA;No;Si;Chacarita;;13/09/1953;Buenos Aires;Argentina;Local;4-1;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;27/09/1953;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Rosario Central;;04/10/1953;Rosario;Argentina;Visitante;1-4;
River Plate;Primera División AFA;No;Si;Lanús;;11/10/1953;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Huracán;;18/10/1953;Buenos Aires;Argentina;Visitante;3-1;
River Plate;Primera División AFA;No;Si;Platense;;25/10/1953;Buenos Aires;Argentina;Local;6-2;
River Plate;Primera División AFA;No;Si;Racing;;08/11/1953;Buenos Aires;Argentina;Local;2-1;
River Plate;Amistoso;No;No;Comb. de Tucumán;;16/12/1953;Tucumán;Argentina;Visitante;3-0;
River Plate;Amistoso;No;No;Federación Tucumana;;20/12/1953;Tucumán;Argentina;Visitante;5-4;
River Plate;Amistoso;No;No;Federación Tucumana;;20/12/1953;Tucumán;Argentina;Visitante;5-4;
River Plate;Amistoso;No;No;Nuñorco (Tucumán);;21/12/1953;Tucumán;Argentina;Visitante;4-3;
River Plate;Amistoso;No;No;Comb. Liga Paranaense;;25/05/1954;Entre Ríos;Argentina;Visitante;3-5;
River Plate;Primera División AFA;No;Si;Independiente;;30/05/1954;Buenos Aires;Argentina;Local;2-3;
River Plate;Primera División AFA;No;Si;Platense;;20/06/1954;Buenos Aires;Argentina;Visitante;2-2;
River Plate;Amistoso;No;No;Federación Tucumana;;11/07/1954;Tucumán;Argentina;Visitante;4-5;
River Plate;Amistoso;No;No;Federación Tucumana;;11/07/1954;Tucumán;Argentina;Visitante;4-5;
River Plate;Primera División AFA;No;Si;Rosario Central;;25/07/1954;Buenos Aires;Argentina;Local;4-0;
River Plate;Primera División AFA;No;Si;Huracán;;22/08/1954;Buenos Aires;Argentina;Visitante;2-1;
River Plate;Primera División AFA;No;Si;Tigre;;05/09/1954;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;12/09/1954;La Plata;Argentina;Visitante;2-1;
River Plate;Amistoso;No;No;Federación Tucumana;;12/10/1954;Tucumán;Argentina;Visitante;1-2;
River Plate;Primera División AFA;No;Si;Boca;;31/10/1954;Buenos Aires;Argentina;Local;3-0;
River Plate;Primera División AFA;No;Si;Boca;;31/10/1954;Buenos Aires;Argentina;Local;3-0;
River Plate;Amistoso;No;No;Platense;;29/12/1954;Buenos Aires;Argentina;Visitante;3-3;
River Plate;Amistoso;Si;No;Austria Viena;;09/01/1955;Buenos Aires;Argentina;Local;2-3;
River Plate;Amistoso;Si;No;Nacional de Montevideo;;13/01/1955;Buenos Aires;Argentina;Local;4-0;
River Plate;Amistoso;Si;No;Nacional de Montevideo;;13/01/1955;Buenos Aires;Argentina;Local;4-0;
River Plate;Amistoso;No;No;Independiente;;16/01/1955;Buenos Aires;Argentina;Local;4-5;
Selección Argentina;Copa América;Si;Si;Uruguay;;27/03/1955;Santiago;Chile;Neutral;6-1;
Selección Argentina;Copa América;Si;Si;Uruguay;;27/03/1955;Santiago;Chile;Neutral;6-1;
Selección Argentina;Copa América;Si;Si;Uruguay;;27/03/1955;Santiago;Chile;Neutral;6-1;
River Plate;Amistoso;Si;No;Nacional de Montevideo;;12/05/1955;Buenos Aires;Argentina;Local;4-0;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;15/05/1955;La Plata;Argentina;Visitante;3-2;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;15/05/1955;La Plata;Argentina;Visitante;3-2;
River Plate;Primera División AFA;No;Si;Newells;;22/05/1955;Buenos Aires;Argentina;Local;1-0;
River Plate;Amistoso;Si;No;Colo Colo;;25/05/1955;Buenos Aires;Argentina;Local;4-0;
River Plate;Primera División AFA;No;Si;Ferro;;05/06/1955;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Ferro;;05/06/1955;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;San Lorenzo;;10/08/1955;Buenos Aires;Argentina;Local;4-2;
River Plate;Primera División AFA;No;Si;Chacarita;;04/09/1955;Buenos Aires;Argentina;Visitante;3-1;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;11/09/1955;Buenos Aires;Argentina;Local;2-0;
River Plate;Primera División AFA;No;Si;Vélez;;04/12/1955;Buenos Aires;Argentina;Local;5-2;
River Plate;Primera División AFA;No;Si;Boca;;08/12/1955;Buenos Aires;Argentina;Visitante;2-1;
Selección Argentina;Copa América;Si;Si;Chile;;29/01/1956;Montevideo;Uruguay;Neutral;2-0;
Selección Argentina;Copa América;Si;Si;Chile;;29/01/1956;Montevideo;Uruguay;Neutral;2-0;
River Plate;Amistoso;No;No;San Martín (Tucumán);;14/03/1956;Tucumán;Argentina;Visitante;3-1;
River Plate;Amistoso;No;No;Talleres (Cba);;17/03/1956;Córdoba;Argentina;Visitante;4-0;
